original_lon,original_lat,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
"-73,013763","46,417742",28.55706253704434,"Canada Post Saint-Paulin, 1660 Rue Lottinville, Saint-Paulin, QC J0K 3G0, Canada",46.4177792,-73.0141316,Canada Post Saint-Paulin,1660,Rue Lottinville,J0K 3G0,,,Saint-Paulin,Maskinongé (MRC),Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-73,1940958","45,6771865",246.0773569313992,"Dépanneur Saint- Marc, 607 Rue Richelieu, Saint-Marc-sur-Richelieu, QC J0H 2G0, Canada",45.6793631,-73.1935235,Dépanneur Saint- Marc,607,Rue Richelieu,J0H 2G0,,,Saint-Marc-sur-Richelieu,La Vallée-du-Richelieu,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-73,671078","45,528168",0.2356386746805076,"Boulevard Thompson, Montreal, QC H4N 1C0, Canada",45.52817,-73.671079,,,Boulevard Thompson,H4N 1C0,Saint-Laurent,Chameran/Montpellier,Montreal,Montreal,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-73,214076","45,292567",374.3531012355758,"637 3e Rang, Saint-Jean-sur-Richelieu, QC J2X 1K5, Canada",45.2925041,-73.2092912,,637,3e Rang,J2X 1K5,Saint-Athanase,"Terre-Mère, maraîcher biologique",Saint-Jean-sur-Richelieu,Le Haut-Richelieu,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-72,987917","45,446537",0.23403489682605208,"Rang du Bas-de-la-Rivière Nord, Saint-Césaire, QC J0L 1T0, Canada",45.446537,-72.987914,,,Rang du Bas-de-la-Rivière Nord,J0L 1T0,,,Saint-Césaire,Rouville,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-72,005241","45,394581",0,"5983 Chemin De Saint Elie, Sherbrooke, QC J1R 0P5, Canada",45.394581,-72.005241,,5983,Chemin De Saint Elie,J1R 0P5,,,Sherbrooke,Sherbrooke,Quebec,QC,Canada,ca,© OpenAddresses contributors,BSD-3-Clause License,
"-70,875165","46,704674",0.04413847286845479,"510 Route 279, Saint-Gervais, QC G0R 3C0, Canada",46.7046742,-70.8751645,,510,Route 279,G0R 3C0,,,Saint-Gervais,Bellechasse,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-75,610495","45,895762",13.59974728759786,"105 Chemin Guénette, Val-des-Bois, QC J0X 3C0, Canada",45.8958326,-75.6103515,,105,Chemin Guénette,J0X 3C0,,,Val-des-Bois,Papineau,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-74,041693","45,105219",177.66938153945944,"Chemin de la Rivière-aux-Outardes, Ormstown, QC J0S 1K0, Canada",45.1095126,-74.0304359,Chemin de la Rivière-aux-Outardes,,Chemin de la Rivière-aux-Outardes,J0S 1K0,Domaine-Chantigny,,Ormstown,Le Haut-Saint-Laurent,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-79,657905","43,60604",0,"90 Little Creek Road, Mississauga, ON L5R 3E3, Canada",43.6061048,-79.65793275000001,,90,Little Creek Road,L5R 3E3,,,Mississauga,Peel Region,Ontario,ON,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-73,9207046","45,6909855",11.752220512485161,"12665 Rue Brault, Mirabel, QC J7C 0Y4, Canada",45.691083,-73.920763,,12665,Rue Brault,J7C 0Y4,,,Mirabel,Mirabel,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-72,040988","45,1673528",15.249429241163048,"999 Rue Sanborn, Ayer's Cliff, QC J0B 1C0, Canada",45.1674316,-72.0411472,,999,Rue Sanborn,J0B 1C0,,,Ayer's Cliff,Memphrémagog,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-73,808244","45,575519",0,"574 Rue Hugues, Laval, QC H7P 4V9, Canada",45.575519,-73.808244,,574,Rue Hugues,H7P 4V9,,Fabreville,Laval,Laval,Quebec,QC,Canada,ca,© OpenAddresses contributors,BSD-3-Clause License,
"-72,899213","45,507189",0.2356482788630799,"Rue Chaput, Saint-Pie, QC J0H 1W0, Canada",45.507191,-72.899214,,,Rue Chaput,J0H 1W0,,,Saint-Pie,Les Maskoutains,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-105,210973","50,717199",0.018437606437881615,"739, Dufferin No. 190, SK S0G 0H0, Canada",50.7171921,-105.2080876,739,,739,S0G 0H0,,,Dufferin No. 190,Division No. 6,Saskatchewan,SK,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-78,439609","48,291301",0.008392175591752222,"Chemin des Cèdres, Preissac, QC J0Y 2E0, Canada",48.2915626,-78.4394307,Chemin des Cèdres,,Chemin des Cèdres,J0Y 2E0,,,Preissac,Abitibi,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-73,593566","45,529121",0,"5407 Rue Saint-Denis, Montreal, QC H2J 2Y4, Canada",45.529121,-73.593566,,5407,Rue Saint-Denis,H2J 2Y4,Le Plateau-Mont-Royal,Parc-Laurier,Montreal,Montreal,Quebec,QC,Canada,ca,© OpenAddresses contributors,BSD-3-Clause License,
